,bfgs_best,best_vanilla_cmaes,best_1,best_2,best_7,best_19,best_25,best_50,best_100,best_187,best_250,best_500,best_750
8173,,267587249.3956021,2633.5281344728496,2931.747960690504,4605.606675059527,64790732.69759419,,,,,,,
8177,,267529239.77100685,2632.3364265157657,2930.1715290295633,4598.009617094386,64404173.19368915,,,,,,,
8181,2772.1117951502315,,,,,,,,,,,,
8206,,267108669.9926913,2623.659747055811,2918.742399487754,4542.9309468471,61601616.79037753,,,,,,,
8254,,266412554.4975482,2609.298346570368,2899.8252195564787,4451.766251265386,58008881.384294726,,,,,,,
8274,,266122506.37457192,2603.314429701434,2891.9430612517817,4414.660276736086,56511908.29842686,,,,,,,
8278,,266064496.7499766,2602.117646327645,2890.2843943964663,4407.2390818302265,56212513.68125329,,,,,,,
8282,2755.606995417315,,,,,,,,,,,,
8307,,265643926.97166112,2594.9574311845336,2878.259059695421,4353.435418762744,54041902.70674491,,,,,,,
8355,,264947811.47651803,2583.106040602829,2858.3550574316246,4264.381079892429,51959490.59549573,,,,,,,
8375,,264657763.35354176,2578.1679611937866,2850.0617231550427,4225.772684744567,51091818.88247524,,,,,,,
8379,,264599753.7289465,2577.1803453119783,2848.6906548031707,4218.051005714996,50918284.53987117,,,,,,,
8383,2738.5350588020287,,,,,,,,,,,,
8400,,264295203.19982138,2572.042021491363,2841.4925459558394,4177.512190809742,50007229.241199665,,,,,,,
8408,,264079218.27930042,2570.084564797794,2838.7504092520935,4162.068832750595,49660160.555991486,,,,,,,
8456,,262783308.7561746,2558.339824636387,2822.297589029624,4069.408684395727,48676590.24113366,,,,,,,
8476,,262243346.45487216,2553.4461829024676,2815.4422472702613,4038.341114039849,48266769.27660957,,,,,,,
8480,,262135353.9946117,2552.467454555683,2814.29021212401,4032.127599968674,48184805.08370478,,,,,,,
8484,2725.9042375854888,,,,,,,,,,,,
8509,,261352408.6577232,2546.484211709797,2805.937957313687,3987.0796229526513,47590564.68514484,,,,,,,
8557,,260056499.13459736,2536.5809132062595,2792.113535558667,3912.5174540985427,46890010.909463376,,,,,,,
8577,,259516536.83329496,2532.4545388297856,2786.35335982741,3884.397679889124,46598113.50292944,,,,,,,
8581,,259408544.37303448,2531.6292639544913,2785.2310089147923,3878.773725047239,46539734.021622635,,,,,,,
8585,2714.396847500246,,,,,,,,,,,,
8610,,258625599.036146,2525.4433563373445,2777.0939647983096,3838.00005244358,46116482.78214843,,,,,,,
8658,,257329689.51302016,2515.2046126951727,2763.6257538468913,3770.5125943409703,45720076.87580659,,,,,,,
8678,,256789727.21171772,2510.9384695109343,2758.0139992838003,3747.467875884334,45554907.748164155,,,,,,,
8682,,256681734.7514572,2510.0852408740875,2756.879999176559,3742.8589321930035,45521873.92263566,,,,,,,
8686,2700.6544786935196,,,,,,,,,,,,
8711,,255898789.41456875,2505.5308350102077,2748.6584983990497,3709.4440904308785,45282378.68755414,,,,,,,
8759,,254602879.8914429,2497.9925080630946,2735.0504971121395,3654.136766134944,44432772.14760563,,,,,,,
8779,,254062917.5901405,2494.851538501798,2729.380496575927,3634.70422821186,44078769.42262708,,,,,,,
8783,,253954925.12988004,2494.2233445895386,2728.6466939658158,3630.8177206272417,44007968.87763138,,,,,,,
8787,2690.6566070356293,,,,,,,,,,,,
8800,,253495957.17377296,2491.4513208884828,2725.5280328728422,3614.30006339262,43707066.5613996,,,,,,,
8812,,253494475.50274873,2489.494598275971,2723.326625042508,3602.6405406387694,43494664.92641249,,,,,,,
8860,,253488548.8186517,2481.6677078259254,2714.520993721173,3556.0024496233636,41875509.2060508,,,,,,,
8880,,253486079.3669446,2478.4065034717405,2710.8519806706167,3540.8465387734614,41200860.989233434,,,,,,,
8884,,253485585.4766032,2477.7542626009035,2710.2371718157506,3537.8153566034803,41065931.34586996,,,,,,,
8888,2678.4852762699766,,,,,,,,,,,,
8913,,253482004.77162793,2473.042114266342,2705.779807617979,3515.83928587112,40087691.43148478,,,,,,,
8961,,253476078.0875309,2465.242696333276,2698.4021013595957,3479.465099831353,36961672.935635775,,,,,,,
8981,,253473608.63582382,2461.992938861165,2695.3280570852694,3463.4356957266486,35659165.229032025,,,,,,,
8985,,253473114.74548241,2461.3429873667424,2694.610536132045,3460.2298149057065,35398663.68771127,,,,,,,
8989,2662.539037274817,,,,,,,,,,,,
9014,,253469534.04050714,2457.9903957827337,2689.4085092211694,3436.9871789538865,33510027.513135836,,,,,,,
9062,,253463607.35641012,2452.4412786781672,2680.7982577824796,3398.5166091026003,29259929.85654741,,,,,,,
